,precision,recall,f1-score,support
0,0.9199017199017199,0.9639546858908342,0.9414131254714609,1942.0
1,0.9032051282051282,0.9066924066924067,0.9049454078355812,1554.0
2,0.9953839198610417,0.9930446754973176,0.9942129217021377,42126.0
avg / total,0.9890310139263108,0.988865021261672,0.9889247072260384,45622.0
0,0.9459606986899564,0.9611758180809762,0.9535075653370014,1803.0
1,0.912167026637869,0.9043540328336902,0.9082437275985663,1401.0
2,0.9957908676015039,0.9953907247198979,0.9955907559548436,42306.0
avg / total,0.9912423992266945,0.9912326961107449,0.9912345885320549,45510.0
0,0.9304347826086956,0.9399707174231332,0.9351784413692644,2049.0
1,0.9007633587786259,0.8827930174563591,0.8916876574307305,1604.0
2,0.9936663507547213,0.9939190751445087,0.9937926968824774,43250.0
avg / total,0.987726903762826,0.9877619768458308,0.9877402675532837,46903.0
0,0.9218106995884774,0.9572649572649573,0.939203354297694,1638.0
1,0.8913857677902621,0.8711566617862372,0.8811551277304701,1366.0
2,0.9946457596328521,0.9938855450463361,0.9942655070247539,41868.0
avg / total,0.9888435449508753,0.9888126225708682,0.9888122046472598,44872.0
0,0.9302325581395349,0.956268221574344,0.9430707303047728,1715.0
1,0.9068554396423248,0.8749101365923796,0.8905964141968533,1391.0
2,0.9947440693214641,0.994767620806402,0.994755844924534,42237.0
avg / total,0.9896078779454922,0.9896345632181374,0.989605640048035,45343.0
